ID,FECHA,AÑO,MES,HORA,pos x,pos y,TIPO_DE_CALLE,COMUNA,VICTIMA,ACUSADO,N_VICTIMAS,ROL,SEXO,EDAD
2016-0052,2016-04-20,2016,4,20:00:00,0.0,0.0,AUTOPISTA,13,MOTO,SD,1,SD,SD,SD
2016-0053,2016-04-22,2016,4,09:30:00,-58.4842918,-34.57558053,AVENIDA,12,PEATON,PASAJEROS,1,PEATON,MASCULINO,38
2016-0054,2016-04-23,2016,4,21:00:00,-58.48695354,-34.68795245,AUTOPISTA,8,MOTO,MOTO,1,CONDUCTOR,MASCULINO,30
2016-0055,2016-04-25,2016,4,20:30:00,-58.40021959,-34.57964781,AVENIDA,14,PEATON,CARGAS,1,PEATON,MASCULINO,79
2016-0056,2016-04-26,2016,4,04:45:00,-58.42957885,-34.57660058,AVENIDA,14,MOTO,OBJETO FIJO,1,CONDUCTOR,MASCULINO,26
2016-0058,2016-05-04,2016,5,14:00:00,-58.38247542,-34.62556293,CALLE,1,PEATON,MOTO,1,PEATON,FEMENINO,57
2016-0059,2016-05-08,2016,5,16:30:00,-58.38222219,-34.62728101,CALLE,1,PEATON,PASAJEROS,1,PEATON,MASCULINO,37
2016-0064,2016-05-14,2016,5,18:11:00,-58.49485242,-34.62953445,AVENIDA,10,PEATON,PASAJEROS,1,PEATON,MASCULINO,20
2016-0065,2016-05-20,2016,5,14:40:00,-58.45227946,-34.61068024,AVENIDA,6,PEATON,AUTO,1,PEATON,MASCULINO,20
2016-0067,2016-05-21,2016,5,17:00:00,-58.48455411,-34.6751276,AVENIDA,8,MOTO,PASAJEROS,1,PASAJERO_ACOMPAÑANTE,FEMENINO,30
2016-0068,2016-05-22,2016,5,22:00:00,-58.39056593,-34.58418569,AVENIDA,2,MOTO,PASAJEROS,1,CONDUCTOR,MASCULINO,58
2016-0069,2016-05-23,2016,5,03:30:00,-58.39118948,-34.62704273,AVENIDA,3,AUTO,CARGAS,1,CONDUCTOR,MASCULINO,30
2016-0073,2016-06-11,2016,6,15:00:00,-58.49021952,-34.62025108,CALLE,10,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,23
2016-0074,2016-06-12,2016,6,06:40:00,-58.49896559,-34.67732118,GRAL PAZ,8,AUTO,AUTO,1,CONDUCTOR,MASCULINO,60
2016-0075,2016-06-12,2016,6,23:13:00,-58.47461076,-34.66874679,AUTOPISTA,8,PEATON,AUTO,1,PEATON,MASCULINO,42
2016-0076,2016-06-13,2016,6,16:20:00,-58.46210891,-34.60356211,AVENIDA,15,PEATON,PASAJEROS,1,PEATON,FEMENINO,53
2016-0077,2016-06-13,2016,6,21:52:00,-58.3702777,-34.60536123,AVENIDA,1,PEATON,PASAJEROS,1,PEATON,FEMENINO,SD
2016-0078,2016-06-13,2016,6,23:01:00,-58.40491455,-34.6146383,AVENIDA,3,MOTO,MOTO,1,CONDUCTOR,MASCULINO,30
2016-0079,2016-06-16,2016,6,17:13:00,-58.45504154,-34.54864492,AVENIDA,13,AUTO,AUTO,1,CONDUCTOR,FEMENINO,51
2016-0080,2016-06-18,2016,6,06:42:00,-58.52927982,-34.63931752,GRAL PAZ,9,AUTO,SD,1,CONDUCTOR,MASCULINO,60
2016-0081,2016-06-22,2016,6,07:42:00,-58.4872106,-34.55904606,AVENIDA,12,MOTO,AUTO,1,CONDUCTOR,MASCULINO,40
2016-0082,2016-06-27,2016,6,18:24:00,-58.42273092,-34.64228803,AVENIDA,4,PEATON,AUTO,1,PEATON,MASCULINO,87
2016-0083,2016-06-28,2016,6,20:46:00,-58.44788671,-34.62539009,AVENIDA,6,PEATON,MOTO,1,PEATON,FEMENINO,76
2016-0084,2016-06-29,2016,6,22:00:00,-58.38110563,-34.60135531,CALLE,1,PEATON,PASAJEROS,1,PEATON,MASCULINO,57
2016-0085,2016-06-29,2016,6,22:00:00,-58.42378834,-34.657341,AVENIDA,4,MOTO,OTRO,1,SD,MASCULINO,SD
2016-0086,2016-06-30,2016,6,16:10:00,-58.48727942,-34.63652467,AVENIDA,10,PEATON,PASAJEROS,1,PEATON,MASCULINO,75
2016-0087,2016-07-02,2016,7,00:10:00,-58.37864583,-34.62907067,AUTOPISTA,1,MOTO,OBJETO FIJO,1,CONDUCTOR,MASCULINO,23
2016-0088,2016-07-11,2016,7,15:30:00,-58.5015175,-34.56767549,CALLE,12,PEATON,AUTO,1,PEATON,FEMENINO,70
2016-0089,2016-07-14,2016,7,06:40:00,-58.43233425,-34.55185825,AUTOPISTA,13,PEATON,AUTO,1,PEATON,MASCULINO,35
2016-0090,2016-07-14,2016,7,22:00:00,-58.41971993,-34.6111224,AVENIDA,5,PEATON,PASAJEROS,1,PEATON,MASCULINO,60
2016-0092,2016-07-15,2016,7,11:00:00,-58.46743471,-34.53476874,GRAL PAZ,13,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,24
2016-0093,2016-07-17,2016,7,03:30:00,-58.44362126,-34.62301748,AVENIDA,6,AUTO,AUTO,1,CONDUCTOR,MASCULINO,35
2016-0095,2016-07-23,2016,7,06:12:00,-58.51713095,-34.59546519,AVENIDA,11,MOTO,AUTO,1,CONDUCTOR,MASCULINO,29
2016-0096,2016-07-25,2016,7,07:00:00,-58.47433193007387,-34.66684950051973,AUTOPISTA,8,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,SD
2016-0097,2016-07-26,2016,7,18:45:00,-58.39038605,-34.6156281,CALLE,1,PEATON,AUTO,1,PEATON,MASCULINO,80
