ID;N_VICTIMAS;FECHA;HORA;TIPO_DE_CALLE;COMUNA;POS_X;POS_Y;ACUSADO
2016-0096;1;2016-07-25;7;AUTOPISTA;8;-58.4743;-34.6669;CARGAS
2016-0097;1;2016-07-26;18;CALLE;1;-58.3904;-34.6156;AUTO
2016-0098;1;2016-07-27;16;AVENIDA;3;-58.4004;-34.6236;CARGAS
2016-0099;1;2016-07-29;16;GRAL PAZ;11;-58.5234;-34.598;CARGAS
2016-0100;1;2016-08-03;23;GRAL PAZ;12;-58.4949;-34.548;OBJETO FIJO
2016-0101;1;2016-08-07;19;GRAL PAZ;9;-58.5293;-34.6502;SD
2016-0102;1;2016-08-10;23;AVENIDA;9;-58.5001;-34.6732;CARGAS
2016-0104;1;2016-08-14;21;AVENIDA;9;-58.4664;-34.6562;PASAJEROS
2016-0105;1;2016-08-17;0;AVENIDA;15;-58.4534;-34.5844;PASAJEROS
2016-0106;1;2016-08-19;21;AVENIDA;1;-58.3809;-34.5893;PASAJEROS
2016-0107;1;2016-08-20;8;AUTOPISTA;4;-58.3716;-34.6543;AUTO
2016-0109;1;2016-08-24;5;AUTOPISTA;9;-58.5228;-34.6366;OBJETO FIJO
2016-0110;1;2016-08-24;20;AVENIDA;9;-58.5123;-34.659;SD
2016-0111;1;2016-08-25;9;AUTOPISTA;15;-58.4746;-34.5766;CARGAS
2016-0112;1;2016-08-27;4;AUTOPISTA;1;-58.3827;-34.6228;OBJETO FIJO
2016-0113;1;2016-08-27;16;AVENIDA;9;-58.496;-34.6456;PASAJEROS
2016-0114;1;2016-08-31;11;CALLE;14;-58.4185;-34.5939;CARGAS
2016-0115;1;2016-09-02;11;CALLE;12;-58.4893;-34.5492;CARGAS
2016-0116;1;2016-09-02;20;AVENIDA;8;-58.4445;-34.6848;AUTO
2016-0117;1;2016-09-03;15;AVENIDA;14;-58.3994;-34.5827;AUTO
2016-0118;1;2016-09-04;3;AUTOPISTA;1;-58.3794;-34.6269;AUTO
2016-0119;1;2016-09-04;6;AVENIDA;12;-58.4966;-34.5635;SD
2016-0122;1;2016-09-13;7;AVENIDA;9;-58.4726;-34.6519;PASAJEROS
2016-0123;1;2016-09-14;9;AVENIDA;7;-58.4513;-34.6405;AUTO
2016-0124;1;2016-09-16;15;AVENIDA;7;-58.4627;-34.6288;PASAJEROS
2016-0125;1;2016-09-17;12;AUTOPISTA;10;-58.4902;-34.6424;MOTO
2016-0126;2;2016-09-18;22;CALLE;10;-58.5257;-34.6213;CARGAS
2016-0127;1;2016-09-24;10;AVENIDA;8;-58.4409;-34.6668;PASAJEROS
2016-0128;1;2016-10-02;11;AVENIDA;5;-58.4191;-34.6305;PASAJEROS
2016-0130;1;2016-10-04;12;AUTOPISTA;1;-58.3791;-34.6276;CARGAS
2016-0131;1;2016-10-09;19;CALLE;4;-58.3987;-34.6454;AUTO
2016-0132;1;2016-10-10;2;AVENIDA;3;-58.4104;-34.6248;PASAJEROS
2016-0133;1;2016-10-14;0;AVENIDA;14;-58.402;-34.5834;AUTO
2016-0134;1;2016-10-23;5;AVENIDA;8;-58.4894;-34.6765;OBJETO FIJO
2016-0135;1;2016-10-24;5;AVENIDA;14;-58.4226;-34.564;SD
2016-0136;1;2016-10-25;0;AUTOPISTA;4;-58.3608;-34.6256;CARGAS
2016-0137;1;2016-10-25;0;AVENIDA;11;-58.5154;-34.5904;MOTO
2016-0138;1;2016-10-27;20;AVENIDA;13;-58.4591;-34.5592;CARGAS
2016-0139;1;2016-10-28;23;AVENIDA;14;-58.4201;-34.5654;MOTO
2016-0140;1;2016-10-31;2;AVENIDA;13;-58.4557;-34.5615;PASAJEROS
2016-0142;1;2016-11-05;23;AVENIDA;1;-58.3753;-34.5928;PASAJEROS
2016-0143;1;2016-11-06;4;AVENIDA;8;-58.4445;-34.6848;SD
2016-0144;1;2016-11-07;12;AVENIDA;4;-58.3597;-34.6334;PASAJEROS
2016-0145;1;2016-11-07;20;AVENIDA;13;-58.4452;-34.5595;AUTO
2016-0146;1;2016-11-09;20;AVENIDA;4;-58.3963;-34.6304;PASAJEROS
2016-0147;1;2016-11-16;21;AVENIDA;1;-58.389;-34.618;PASAJEROS
2016-0148;1;2016-11-16;22;AVENIDA;15;-58.4654;-34.5948;MOTO
2016-0150;1;2016-11-18;18;AVENIDA;4;-58.4088;-34.6527;CARGAS
2016-0151;1;2016-11-18;20;CALLE;1;-58.3869;-34.6061;SD
2016-0152;1;2016-11-23;21;AVENIDA;7;-58.4645;-34.6499;AUTO
2016-0153;1;2016-11-25;15;AVENIDA;15;-58.4292;-34.5949;MOTO
2016-0154;1;2016-11-26;14;GRAL PAZ;8;-58.4901;-34.6825;MOTO
2016-0155;1;2016-11-26;16;CALLE;10;-58.5276;-34.6277;AUTO
2016-0156;1;2016-11-26;19;AVENIDA;3;-58.4064;-34.6194;PASAJEROS
2016-0157;1;2016-12-03;6;AVENIDA;11;-58.4758;-34.6174;MOTO
2016-0159;1;2016-12-04;7;AVENIDA;8;-58.4445;-34.6848;SD
2016-0160;1;2016-12-06;5;AUTOPISTA;9;-58.5193;-34.6364;OBJETO FIJO
2016-0161;1;2016-12-06;7;AVENIDA;14;-58.4253;-34.5787;PASAJEROS
2016-0162;1;2016-12-07;5;AVENIDA;15;-58.454;-34.5852;AUTO
2016-0163;1;2016-12-10;7;GRAL PAZ;11;-58.5234;-34.598;AUTO
2016-0164;1;2016-12-11;6;AVENIDA;4;-58.4232;-34.6412;AUTO
2016-0165;1;2016-12-12;8;AVENIDA;4;-58.3693;-34.6284;PASAJEROS
2016-0168;1;2016-12-13;10;AVENIDA;4;-58.4232;-34.6412;AUTO
2016-0169;1;2016-12-15;15;AVENIDA;12;-58.4794;-34.5568;PASAJEROS
2016-0170;1;2016-12-19;17;GRAL PAZ;12;-58.506;-34.5638;AUTO
2016-0171;1;2016-12-25;19;AUTOPISTA;1;-58.3661;-34.6215;MOTO
2016-0172;1;2016-12-26;8;AVENIDA;5;-58.4192;-34.6317;CARGAS
2016-0173;1;2016-12-26;19;AVENIDA;7;-58.4675;-34.6355;CARGAS
2016-0174;1;2016-12-27;0;AUTOPISTA;1;-58.3869;-34.6061;SD
2016-0175;1;2016-12-27;8;CALLE;7;-58.4606;-34.6296;BICICLETA
2016-0176;1;2016-12-28;1;AVENIDA;1;-58.3696;-34.6123;PASAJEROS
2016-0177;1;2016-12-29;4;CALLE;14;-58.4097;-34.5879;AUTO
2016-0178;1;2016-12-30;16;CALLE;3;-58.4029;-34.6154;MULTIPLE
2017-0001;1;2017-01-02;1;AVENIDA;11;-58.4659;-34.6103;CARGAS
2017-0003;1;2017-01-05;3;AVENIDA;4;-58.3896;-34.6441;CARGAS
2017-0007;1;2017-01-11;17;CALLE;1;-58.3816;-34.6153;MULTIPLE
2017-0008;1;2017-01-16;0;CALLE;14;-58.4392;-34.5849;PASAJEROS
2017-0009;1;2017-01-16;13;AUTOPISTA;5;-58.416;-34.6274;CARGAS
2017-0010;1;2017-01-16;16;AVENIDA;6;-58.4356;-34.6283;AUTO
2017-0011;1;2017-01-22;2;GRAL PAZ;12;-58.5007;-34.5498;OBJETO FIJO
2017-0012;1;2017-01-24;14;CALLE;4;-58.4097;-34.6506;CARGAS
2017-0013;1;2017-01-27;7;AVENIDA;4;-58.3897;-34.651;CARGAS
2017-0014;1;2017-01-28;8;AVENIDA;12;-58.4919;-34.5505;MULTIPLE
2017-0015;1;2017-02-02;15;AVENIDA;2;-58.3929;-34.5996;AUTO
2017-0016;1;2017-02-03;5;AUTOPISTA;1;-58.381;-34.6229;CARGAS
2017-0017;1;2017-02-06;8;AVENIDA;14;-58.429;-34.581;AUTO
2017-0018;1;2017-02-09;7;GRAL PAZ;9;-58.5088;-34.6698;AUTO
2017-0021;1;2017-02-18;5;CALLE;1;-58.3836;-34.6051;PASAJEROS
